"caption","id","data_type","termlist_id","term","created_on"
"Butterfly life stage","293","L","287","Adult","2014-01-30 08:59:05"
"Butterfly life stage","293","L","287","Egg","2014-01-30 08:59:05"
"Butterfly life stage","293","L","287","Larva","2014-01-30 08:59:05"
"Butterfly life stage","293","L","287","Larval web","2014-01-30 08:59:05"
"Butterfly life stage","293","L","287","Pupa","2014-01-30 08:59:05"
"Abundance count","780","I","","","2016-11-30 13:42:43"
"Outside Transect Count","911","L","997","few (2-5)","2022-05-20 16:43:33"
"Outside Transect Count","911","L","997","many (>16)","2022-05-20 16:43:33"
"Outside Transect Count","911","L","997","one (1)","2022-05-20 16:43:33"
"Outside Transect Count","911","L","997","several (6-15)","2022-05-20 16:43:33"
"Dragonfly Stage","988","L","459","Adults","2023-05-15 17:04:34"
"Dragonfly Stage","988","L","459","Copulating or tandem pairs","2023-05-15 17:04:34"
"Dragonfly Stage","988","L","459","Emergent","2023-05-15 17:04:34"
"Dragonfly Stage","988","L","459","Exuviae","2023-05-15 17:04:34"
"Dragonfly Stage","988","L","459","Larvae","2023-05-15 17:04:34"
"Dragonfly Stage","988","L","459","Ovipositing","2023-05-15 17:04:34"